Sentence,Label
"A less belligerent, but no less competitive, part of the Cold War was the space race.",SPACE
"The Soviet Union bested its rival at nearly every turn, until the U.S. beat them to the finish line by landing astronauts on the moon.",SPACE
"In 1958, space exploration activities in the United States were consolidated into a new government agency, the National Aeronautics and Space Administration (NASA)",SPACE
The first human in space was the Soviet cosmonaut Yuri Gagarin,SPACE
"In addition to launching the first artificial satellite, the first dog in space, and the first human in space, the Soviet Union achieved other space milestones ahead of the United States.",SPACE
Space stations marked the next phase of space exploration.,SPACE
"This was followed by NASA’s Skylab space station, the first orbital laboratory in which astronauts and scientists studied Earth and the effects of spaceflight on the human body.",SPACE
"A space probe is an unpiloted, unmanned device sent to explore space and gather scientific information.",SPACE
"Since the Apollo lunar program ended in 1972, human space exploration has been limited to low-Earth orbit",SPACE
Humans have been sending space probes into space since the 1950s.,SPACE
India returns Chandrayaan-3 propulsion module to Earth orbit,SPACE
The Indian space agency ISRO announced Dec. 4 that the propulsion module for the Chandrayaan-3 mission is now in a high orbit around the Earth after a series of maneuvers since October that returned the spacecraft from a low lunar orbit,SPACE
The lander successfully touched down on the moon Aug. 23,SPACE
ISRO said the maneuver allowed SHAPE to continue observations closer to Earth.,SPACE
He appeared to be referring to a meeting of ISRO leadership chaired by Indian Prime Minister Narendra Modi Oct. 17.,SPACE
"By combining data from NASA's Chandra X-ray Observatory and NASA's James Webb Space Telescope, a team of researchers was able to find the telltale signature of a growing black hole just 470 million years after the big bang",SPACE
Scientists using NASA's James Webb Space Telescope just made a breakthrough discovery in revealing how planets are made.,SPACE
Record-breaking NASA astronaut Frank Rubio provides the agency’s first Spanish-language video tour of humanity’s home in space – the International Space Station.,SPACE
"Retired NASA astronaut Mary Cleave, a veteran of two NASA spaceflights, died Nov. 27.",SPACE
"Cleave launched on her first mission, STS-61B, aboard space shuttle Atlantis on Nov. 26,1985. ",SPACE
Neutron stars can spin at a rate of 600 rotations per second,SPACE
"Uranus usually appears in classroom solar system models as a featureless blue ball, but this gas giant of the outer solar system is pretty weird on closer inspection. ",SPACE
"First, the planet rotates on its side, appearing to roll around the sun like a ball, according to NASA's Uranus guide. ",SPACE
Scientists monitor these extreme seasons on Uranus and expected that the 2007 equinox on the planet might cause unusual weather.,SPACE
"While Mars seems quiet now, gigantic volcanoes once dominated the surface of the planet.",SPACE
"The Hawaiian islands were formed as a hot spot in the mantle created a chain of volcanoes in the crust cruising by above it, so if the surface of Mars isn't moving, a volcano could build-up for longer in one spot. ",SPACE
Scientists have found that its upper winds flow 50 times faster than the planet's rotation.,SPACE
"We've been exploring space for more than 60 years, and have been lucky enough to get close-up pictures of dozens of celestial objects. ",SPACE
"The largest known star is UY Scuti, with a diameter over 1700 times that of our sun.",SPACE
"The largest known star is UY Scuti, with a diameter over 1700 times that of our sun.",SPACE
"Jupiter's Great Red Spot, a massive storm, has been raging for at least 350 years.",SPACE
"Near a black hole, time dilation occurs according to Einstein's theory of general relativity.",SPACE
The Sun contains 99.86% of the mass in our solar system.,SPACE
The cosmic distance ladder is a series of methods used to determine astronomical distances.,SPACE
The sun is mainly composed of hydrogen (about 74% by mass) and helium (about 24% by mass).,SPACE
The cosmic inflation theory explains the uniformity of the cosmic microwave background.,SPACE
The Hubble constant estimates the rate of the universe's expansion.,SPACE
Dark matter may be composed of particles yet to be discovered.,SPACE
The closest galaxy cluster to the Milky Way is the Virgo Cluster.,SPACE
"The moon has a very thin exosphere, almost a vacuum.",SPACE
Mercury & Venus are the only 2 planets in our solar system that have no moons.,SPACE
"If a star passes too close to a black hole, it can be torn apart.",SPACE
The hottest planet in our solar system is Venus.,SPACE
Our solar system is 4.57 billion years old.,SPACE
"Enceladus, one of Saturn’s smaller moons, reflects 90% of the Sun’s light.",SPACE
